siblings,sunrise,beforesunrise,aftersunrise,tattoos,cannabis,alcohol,psilocybin,meat,redmeat,job,vote2020,vote2024,commuteminutes,distancehome,jobhours,weirdfood,sleephours
Yes,No,No,Yes,Yes,Yes,Yes,Rarely,Yes,No,Yes,Yes,Yes,5,0,10,Snails,7
Yes,Yes,Yes,No,Yes,Yes,Yes,Frequently,Yes,Yes,No,No,No,45,26,0,"Recently, a grasshopper with a shot of tequila, but I've also eaten weird things in the Middle East, including camel and other bugs, testicles, and cow tongue.",6
Yes,No,No,Yes,Yes,No,Yes,Occasionally,Yes,No,Yes,I was not eligible,Yes,10,1892,25,Bee pollen,8
Yes,No,No,Yes,Yes,No,Yes,Rarely,Yes,No,Yes,I was not eligible,Yes,20,5,35,cow tongue,6
Yes,No,No,Yes,Yes,No,No,Never,Yes,Yes,No,I was not eligible,Yes,5,1638,0,Termites,8
Yes,No,No,Yes,Yes,No,Yes,Occasionally,Yes,No,No,I was not eligible,Yes,7,0,0,Grasshopper,8
Yes,Yes,No,No,Yes,Yes,Yes,Frequently,Yes,Yes,Yes,I was not eligible,No,15,1000,0,Banana,8
Yes,No,No,Yes,Yes,No,No,Never,Yes,No,No,I was not eligible,Yes,0,15.128,0,alligator,7
Yes,No,No,Yes,Yes,Yes,Yes,Occasionally,Yes,No,No,No,No,5,1,0,Fermented Shark,9
Yes,Yes,No,No,Yes,Yes,Yes,Never,Yes,Yes,Yes,I was not eligible,Yes,20,11,15,Probably escargot or bugs,8
Yes,Yes,No,Yes,Yes,Yes,Yes,Occasionally,Yes,Yes,Yes,I was not eligible,Yes,10,45,20,Rocky Mountain Oysters,9
Yes,No,No,Yes,Yes,Yes,Yes,Occasionally,Yes,Yes,Yes,I was not eligible,Yes,10,1,20,Rocky Mountain Oysters,9
Yes,No,No,Yes,Yes,Yes,Yes,Never,Yes,No,No,I was not eligible,Yes,5,3000,0,calamari,9
Yes,No,No,Yes,Yes,Yes,Yes,Never,Yes,No,Yes,I was not eligible,No,15,403,20,Chocolate covered ants,6
Yes,No,No,Yes,Yes,No,Yes,Never,Yes,Yes,Yes,I was not eligible,No,90,96,40,oisters,9
Yes,No,No,Yes,No,No,Yes,Never,No,No,Yes,Yes,Yes,45,32,10,raw fish,8
Yes,No,No,Yes,No,Yes,Yes,Never,No,No,Yes,Yes,Yes,25,12.7,20,Garlic and grape soup,5.5
Yes,No,Yes,No,No,Yes,No,Never,Yes,No,Yes,Yes,Yes,20,21.24,15,Kangaroo Jerky,9
Yes,No,No,Yes,No,Yes,Yes,Rarely,Yes,No,No,I was not eligible,Yes,40,21,0,alligator,8
Yes,No,No,Yes,No,No,Yes,Occasionally,Yes,No,No,I was not eligible,Yes,10,2697,0,guinea pig,8
Yes,Yes,Yes,Yes,No,Yes,Yes,Rarely,Yes,No,No,I was not eligible,No,15,0,0,alligator or turtle meat,8
Yes,No,No,Yes,No,Yes,Yes,Never,Yes,No,Yes,Yes,Yes,30,1.6,18,Fried Rattlesnake,8
Yes,Yes,Yes,No,No,No,No,Never,Yes,No,No,I was not eligible,Yes,5,92,0,Cricket protein powder bar,8
Yes,No,No,Yes,No,No,Yes,Never,Yes,Yes,No,I was not eligible,Yes,0,1709,0,swamp onion,7
Yes,No,No,No,No,No,No,Never,Yes,Yes,No,I was not eligible,Yes,0,14539,0,Ants,8
Yes,No,No,Yes,No,No,No,Never,Yes,No,Yes,I was not eligible,Yes,0,14.484096,4,soap,8
Yes,Yes,No,No,No,Yes,Yes,Never,No,No,No,I was not eligible,Yes,18,11.27,0,Pigeon,7
Yes,No,No,Yes,No,Yes,Yes,Rarely,Yes,Yes,No,I was not eligible,Yes,15,1494.6,0,Guinea Pig,9
Yes,No,No,Yes,No,No,Yes,Never,Yes,Yes,Yes,I was not eligible,Yes,0,118.2868,30,sand,5
Yes,No,No,Yes,No,No,No,Never,Yes,Yes,No,I was not eligible,Yes,0,39,0,Fish eyes,8
Yes,No,No,Yes,No,No,No,Never,Yes,Yes,Yes,I was not eligible,Yes,8,1.2,4,Fish eye,6
Yes,Yes,No,No,No,Yes,Yes,Occasionally,Yes,Yes,Yes,I was not eligible,Yes,0,1200,13,Aligator,8
Yes,No,No,Yes,No,Yes,Yes,Occasionally,Yes,Yes,Yes,I was not eligible,Yes,0,1600,40,SCOBY,8
Yes,No,No,Yes,No,Yes,Yes,Rarely,Yes,Yes,Yes,I was not eligible,Yes,20,58,10,Palm Weevil larvae,7
Yes,No,No,Yes,No,No,No,Never,Yes,No,Yes,I was not eligible,Yes,0,5.15,8,String,8
Yes,No,No,Yes,No,Yes,Yes,Never,No,No,No,I was not eligible,Yes,0,0,0,escargot,8
Yes,No,No,Yes,No,Yes,Yes,Rarely,Yes,No,No,No,Yes,15,2693,0,"Post-it note (paper was better than i thought, glue was not)",8
