ToppID,Trip,Cluster,Geographic_location,Cluster_name,Seal_ID,Age_years,Ax_Girth_cm,Curve_Length_cm,Standard_Length_cm,Recover_Mass_kg,RecoveryMassEstimated,d13C,d15N,BloodHg_ug_g_ww,MuscleHg_ug_g_dw,MedianDistToContinentalShelf_km,Maximum_Latitude_DegN,Percent_Time_In_California_Current_Ecoregion,Percent_Benthic_Dives,MedianDayDiveDepth_m,MedianNightDiveDepth_m,Day90thPercentileDiveDepth_m,Night90thPercentileDiveDepth_m,DiveIndex
2010067,Long,2,Southern,Shallower offshore,O80,12,198,295,264,510,0,-19.3,14.96,0.487,NA,1311.1,44.5,0.118,0.024,650,505,741,640,0.122
2010068,Long,2,Southern,Shallower offshore,1595,9,211,300,277,524,0,-19.53,14.08,0.372,NA,924.1,46.1,0.1,0.016,658,452,929,578,0.103
2010069,Long,1,Northern,Northerly,T269,5,206,297,277,573,1,-18.81,15.24,0.36,4.844,147.2,56,0.332,0.106,583,529,733,695,0.279
2010071,Long,2,Southern,Shallower offshore,R55,11,206,307,280,559,0,-19.25,15.21,0.346,5.596,1211.3,45.9,0.124,0.069,665,485,839,664,0.128
2010073,Long,3,Southern,Deeper offshore,O651,13,188,307,282,473,0,-19.05,16.38,0.384,NA,689,46.1,0.17,0.017,655,499,787,670,0.145
2010075,Long,1,Northern,Northerly,R999,10,201,295,273,496,0,-19.49,14.4,0.332,2.715,762.4,53.1,0.203,0.069,619,491,695,619,0.15
2011002,Short,2,Southern,Shallower offshore,T28,6,179,277,261,410,0,-19.48,14.37,0.433,4.925,749,44.4,0.364,0.021,667,592,759,646,0.156
2011003,Short,1,Northern,Northerly,1809,9,186,286,270,405,0,-19.71,13.35,0.364,2.586,60.4,55.9,0.517,0.065,601,538,697,639,0.321
2011004,Short,2,Southern,Shallower offshore,T920,5,181,258,237,342,0,-19.32,14.76,0.36,5.342,1261.6,43,0.225,0.043,652,488,708,578,0.117
2011005,Short,2,Southern,Shallower offshore,3224,6,183,280,250,370,0,-19.45,14.88,0.466,5.422,977.7,44.9,0.313,0.012,685,543,799,651,0.149
2011007,Short,2,Southern,Shallower offshore,1712,9,188,297,279,419,0,-19.34,14.69,0.478,NA,1052,41.1,0.284,0.026,676,485,794,594,0.119
2011008,Short,2,Southern,Shallower offshore,T19,6,181,283,267,390,0,-19.53,14.54,0.431,5.837,1268,41.7,0.248,0.022,663,492,781,584,0.131
2011010,Short,3,Southern,Deeper offshore,T923,5,175,269,242,343,0,-19.26,15.75,0.381,6.386,986.2,44.7,0.296,0.019,697,566,847,652,0.156
2011012,Short,1,Northern,Northerly,1244,8,192,287,266,445,0,-18.73,16.19,0.314,4.104,111.7,43.1,1,0.107,596,577,718,650,0.23
