offspring_rattleprob,parent_midpoint,squirrel_id,Year
0.461538462,0.5,11896,2011
0.666666667,0.833333333,12620,2011
0,0,12664,2011
0.25,1,11976,2011
0.230769231,0.333333333,12190,2013
0.692307692,0.583333333,12364,2013
0.2,0,12513,2013
0.333333333,0.291666667,13179,2013
0.3125,0.555555556,12825,2013
0.5,0.166666667,11775,2013
0.714285714,0.741666667,12165,2013
0.875,0.491666667,12363,2013
0.3,0,12305,2013
0.25,0.75,11976,2013
0.777777778,0.4,12236,2013
0.75,0,12445,2013
0.142857143,0.483333333,19257,2013
0.545454545,0.465811966,13112,2013
0.857142857,0.75,10037,2013
0.125,0.166666667,13048,2013
0.75,0.416666667,13039,2013
0.25,0.708333333,13535,2013
0.25,0.380952381,13385,2013
0.416666667,0,10995,2012
0.357142857,0.181818182,11220,2012
0.5,1,11619,2012
0.210526316,0.058823529,11775,2012
0.5,0.4375,11896,2012
0.5,0.229166667,12422,2012
0.384615385,0.229166667,12423,2012
0.117647059,0,12513,2012
0.375,1,12620,2012
0.529411765,0.714285714,12703,2012
0.357142857,0.117647059,12876,2012
0.6,0.59375,13112,2012
0.4,1,13179,2012
0.238095238,1,11976,2012
0.1875,0.5,13134,2014
0.4,0.666666667,11976,2014
0.5,0.083333333,19583,2014
0.142857143,0.666666667,19706,2014
0.5,0.666666667,13179,2014
0.5,0.25,19742,2014
0.333333333,0.45625,19537,2014
0.125,0,11002,2014
0.230769231,0.666666667,12003,2014
0.2,0,11953,2014
0.428571429,0.376470588,19815,2014
0.416666667,0,19702,2014
0.470588235,0.333333333,13438,2014
0,0,11722,2014
0.142857143,0.375,12210,2014
0.5,0,19840,2014
0.416666667,0.5,13288,2014
0.75,0.875,20537,2015
1,0.5,11020,2015
0.714285714,1,20858,2015
0.8,0.916666667,19764,2015
1,0.75,20632,2015
0.6,0.266666667,20504,2015
0.2,1,19561,2015
0.75,0.916666667,20920,2015
0.714285714,1,20634,2015
0.8,0.483333333,19649,2015
1,1,19719,2015
1,0.916666667,19766,2015
0.8,0.777777778,21294,2015
0.8,1,20628,2015
0.666666667,1,21022,2015
0.571428571,1,20729,2015
1,1,21060,2015
